"","X","curveID","J_ref","J_ref_SE","E","E_SE","E_D","E_D_SE","T_opt","T_opt_SE","AIC","r_sq","breadth"
"111","J_ref110",1143,0.0280415929641775,0.000243237219490641,0.161176560706807,0.00591661228597188,3.27144822131999,0.0514119323674035,21.4308272391975,0.0770093775953555,1699.21035747418,0.970793409532055,14.3438666666667
"112","J_ref111",1145,0.0388236017416769,0.00191740047192893,1.02549415555258,0.0241230184653287,1.51826389740757,0.0121600540958444,22.8959371110447,0.0683387830569762,-883.485412232046,0.945348851077011,14.5601666666666
"113","J_ref112",1146,0.00867529340550187,0.000109880000710974,0.574162553277452,0.00844839795154883,2.15328014819389,0.0800012826477907,28.7728975341,0.0558058857680575,-950.160495884607,0.975060586547488,NA
"114","J_ref113",1147,0.011511624704486,9.01356486519455e-05,0.349010529193864,0.00479430515903352,2.85349803961905,0.0661523078164218,23.7951367677537,0.0581845444135539,-937.272429400522,0.942970035654343,12.2782333333333
"115","J_ref114",1149,0.0309948949530297,0.000893474819081011,0.513974426037528,0.010914095855485,1.67129343036504,0.0091117612637487,15.1990396399837,0.0491869525599419,-808.366615292299,0.976170564288359,14.5666758333334
"116","J_ref115",1151,0.0645464219177732,0.00478725789003897,0.944656949390212,0.0263528776359514,1.51949233469481,0.0173011331218344,14.2121673902001,0.0603806680929865,-1795.41261348181,0.958835500978145,13.2796933333333
"117","J_ref116",1153,0.0343800937691286,0.00101027015141443,0.424591220709363,0.00992700660169418,1.17367466503376,0.00539800771259171,16.0272917735767,0.0481826629263019,-1330.71875464537,0.974787201192006,14.2657666666667
"118","J_ref117",1155,0.0521431436612744,0.00248231689319148,0.735155256130367,0.0186137844321445,1.52846223317965,0.00835855055212134,17.6075464377432,0.0704182374907769,31.7531181434122,0.934986705833578,15.1185
"119","J_ref118",1157,0.112519613022784,0.00342119178254467,0.567762449756751,0.00985640858272098,1.08160592563933,0.00320588590725069,17.0854079685125,0.0365295947635419,-679.657860650432,0.980794763972443,13.3816
"120","J_ref119",1158,0.0792479430235683,0.00123668031776819,0.610691341355775,0.00557054439596596,1.2165407703877,0.00170796921024882,18.3473699900884,0.0171851206900462,-2537.64965675863,0.994238833078812,12.4099375
"121","J_ref120",1159,0.111097223703284,0.011948330922194,0.687900321480262,0.0338080878935964,1.00419310088981,0.0199300621196635,17.0294506306233,0.0753526773797126,-1106.21268466148,0.89890265845435,12.5193
"122","J_ref121",1160,0.129024925073894,0.0126435256058635,0.565394041009014,0.0280734200409708,0.848777566224875,0.0160833119701567,16.8404276768986,0.0709273040136288,-1043.20717624401,0.926352909338516,13.3605333333333
"123","J_ref122",1162,0.00909505691414397,0.000157450780046932,0.104040591796099,0.00712251154208158,1.71315921449874,0.0342112100344978,14.0267228884929,0.0920744911666873,-1798.3125211077,0.971444936457668,12.91264
"124","J_ref123",1163,0.00968924408920026,2.9421989671197e-05,0.142628448167401,0.00203941659645866,2.67716234905609,0.0199304921058919,22.5960042907541,0.0362618295757649,-2401.10364199217,0.990806627931821,14.023725
